name,release_date,image,songs,notes,artist,genre,price
Sleazeball,1994,https://i.scdn.co/image/ab67616d0000b273c80725eaf75e8cfee469d476,Sure Can't Go To The Moon|Hold Out For The Truth|Lonely Road|On My Own|Love Is The Teacher|Move On Out Together|What Good Is Love?|Smokey's Clown|The International Way|Lovesick|Sleazeball,,Night Trains,"[""Electronic"", ""Jazz"", ""Funk / Soul""]",2.67
"Obstruct The Doors, Cause Delay And Be Dangerous",1997,https://i.scdn.co/image/ab67616d0000b2731291c562fcf3b42bebe22ec5,Sex Theme (Part 1)|Greed|How've You Been|The Wave|Half Life|Don't Play The Game|A Better Tomorrow|Busted|Oil Your Heart|The Background|Take Your Hell By The Horns|Sex Theme (Part 2),,Night Trains,"[""Electronic""]",1.69
The Wave,1997,https://i.scdn.co/image/ab67616d0000b2733367480792ee654bdf8ad506,The Wave (Jerry Parchment Mix)|Love Theme (Part One)|Don't Take Cover|The Wave (Original Mix),,Night Trains,"[""Electronic""]",1.16
Acid Jazz And Other Illicit Grooves,1988,https://i.discogs.com/A3gw9221I1KjDluJeWsOQMJ8GdvQJxY4ZcXAKBvoumk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4MTE4/NDAtMTM0NTM3Mjkz/MS0zNzU5LmpwZWc.jpeg,Introduction - Jalal From The Last Poets|Ace Of Clubs|Jalal|Traffic|Shaft In Action|Jalal|Six Sharp Fists|And Now We Have Rhythm|A Refreshing Interlude|Doin' It Naturally|Traffic (Dub),,Night Trains,"[""Jazz""]",5.32
Totally Wired II,1989,https://i.discogs.com/96LyHXExkMgmve4CbJzMDLBFZQckwzYoetzo8xjC0QA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3MjIz/LTE1MDA2OTIzOTAt/MTk2NS5qcGVn.jpeg,Beads Things And Flowers|Trinkets And Trash|A.P.B|Break 4 Jazz|Nzuri Beat|Homegrown|Tilldess|Gimme One Of Those|The Killer|Monkey Drop,,Night Trains,"[""Electronic"", ""Jazz"", ""Funk / Soul""]",3.33
This Is Acid Jazz Volume One,1991,https://i.discogs.com/9LxbhB1AlS_ZvzSxA2YzXc6x3qbDMIxtdgemAlx3F7A/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NTE0/Mi0xNjY4OTcxNzU3/LTIxNDMuanBlZw.jpeg,Break 4 Jazz|Earthly Powers|The Killer|Stories|Rock Hopper|A.P.B.|Trinkets And Trash|Control Yourself Cousin,,Night Trains,"[""Electronic""]",3.99
This Is Acid Jazz Volume Two,1992,https://i.discogs.com/Fi_i0QlZImSIiGgUFTlKTW0Hv1rfBMEXqVZWEp1NRlk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NTE2/NS0xMjA5Nzk3MTIx/LmpwZWc.jpeg,The Spoken Word|Obey The Rules Of The Night|Perfect Vibe|Jazz Thang|Streetchase|Cutting Loose|Lonely Blues|Never Stop|Keep On|Trance Jazz|Bongo Breakdown|Wide Angle,,Night Trains,"[""Electronic"", ""Jazz""]",4.65
The Party Collection,1993,https://i.discogs.com/agpai04J8eP8WBvnzY0dhq-CJCN9AxsTaZL-s17GLqQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1MDQw/Mi0xMjU4MzA2MDk1/LmpwZWc.jpeg,Best Thing|It's So Good|Close (Like An Overdose)|Look Before You Leap|Better Things|Alex Party|I'm Ready (For Your Love)|Joy|Another Kind Of Find|Americana|Times An Orgasm|Lovesick|I Always Dream About You (Remix),,Night Trains,"[""Electronic""]",4.65
This Is Acid Jazz Volume Three,1993,https://i.discogs.com/3CTOFALdLrRP_S9OAaY5-dGKujpIXEO60MvALLUB8PA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NTE3/Mi0xNDY3NDE2ODU3/LTI0MjIuanBlZw.jpeg,Tribute To Mr. Cool|The Masterplan|Romance|My Baby|Are You Listening|Estrellita|Shelter|Skit Skat|Loaded|Interface Bass|Soul Trader|Peace|The Band Played The Boogie,,Night Trains,"[""Electronic""]",2.33
Acid Jazz - Options,1994,https://i.discogs.com/nlP6DWbBOCXg0SFSmJZlv-XPTL74iD_minALOZP6wYM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxMjcy/NjYtMTczNzAxODQ1/OS01MjM1LmpwZWc.jpeg,Love Sick|Something In My Eye|Peace And Love|Make Me Say It Again Girl|Girl Overboard|Living Life Your Own Way|I Don't Want To See Myself|A Day At The Seaside|Soul Sacrifice|Spinning Wheel |Mercy Mercy Me|3 Miles Island|Buzy Bee |So What|Anarchy In The U.K.| Hope You're Feeling Better,,Night Trains,"[""Jazz"", ""Funk / Soul""]",4.0
Aciiid Bang!,1988,https://i.discogs.com/8HOC9vhEjK2L2Oec55Tg4Jw-fT1xiJdMa5MHdUOJ5fE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjE5/NS0xMzQ2NzgxNjk5/LTc1NzYuanBlZw.jpeg,Acid Man|Hangover Acid Trax|Hello Lover|Ghetto Ratz|Acid Rout|Desire (Acid Deep Mix)|Desire (Deep Acid Mix)|Ecstasy,,Various,"[""Electronic""]",3.99
Acid House Classics,1993,https://i.discogs.com/eGintlGJeZRpib38vhgXbtlEgMtObbBLq9mu_tlmF5o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NDA2/LTExNzE1Njc4OTgu/anBlZw.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shit's Wild|Box Energy|Feels Good|Bango Acid|I Got  A Big Dick|Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Various,"[""Electronic""]",10.0
Best Of Acid Volume Two,1994,https://i.discogs.com/jVDcphhH-Y_4r8Y1fS82cPzYFn4v-gW-GRVzGwGoZHg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ2/LTEyMTkyNDY1OTAu/anBlZw.jpeg,Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Various,"[""Electronic""]",3.5
Aciiid Bang!,1988,https://i.discogs.com/8HOC9vhEjK2L2Oec55Tg4Jw-fT1xiJdMa5MHdUOJ5fE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjE5/NS0xMzQ2NzgxNjk5/LTc1NzYuanBlZw.jpeg,Acid Man|Hangover Acid Trax|Hello Lover|Ghetto Ratz|Acid Rout|Desire (Acid Deep Mix)|Desire (Deep Acid Mix)|Ecstasy,,Various,"[""Electronic""]",3.99
Acid Trax Volume 3,1988,https://i.discogs.com/mxANTJyO3EeRpnHNdfiubeypqfEJKH0UsY1J7stbIfY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3OTI4/LTEyOTIzMjg1NDAu/anBlZw.jpeg,Ecstasy|Desire|Drug Store|Slave To Love|Acid Pop|Battery Acid|The Other Side|Cool J Acid|Stomach Acid|Anti Acid|Acid Syndrome|Slow Mo Acid|Keep Smiling Medley Mix,,Various,"[""Electronic""]",19.19
Acid House Classics,1993,https://i.discogs.com/eGintlGJeZRpib38vhgXbtlEgMtObbBLq9mu_tlmF5o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NDA2/LTExNzE1Njc4OTgu/anBlZw.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shit's Wild|Box Energy|Feels Good|Bango Acid|I Got  A Big Dick|Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Various,"[""Electronic""]",10.0
Best Of Acid Volume Two,1994,https://i.discogs.com/jVDcphhH-Y_4r8Y1fS82cPzYFn4v-gW-GRVzGwGoZHg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ2/LTEyMTkyNDY1OTAu/anBlZw.jpeg,Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Various,"[""Electronic""]",3.5
Acid Trax Volume 3,1988,https://i.discogs.com/mxANTJyO3EeRpnHNdfiubeypqfEJKH0UsY1J7stbIfY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3OTI4/LTEyOTIzMjg1NDAu/anBlZw.jpeg,Ecstasy|Desire|Drug Store|Slave To Love|Acid Pop|Battery Acid|The Other Side|Cool J Acid|Stomach Acid|Anti Acid|Acid Syndrome|Slow Mo Acid|Keep Smiling Medley Mix,,Various,"[""Electronic""]",19.19
Acid House Classics,1993,https://i.discogs.com/eGintlGJeZRpib38vhgXbtlEgMtObbBLq9mu_tlmF5o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NDA2/LTExNzE1Njc4OTgu/anBlZw.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shit's Wild|Box Energy|Feels Good|Bango Acid|I Got  A Big Dick|Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Various,"[""Electronic""]",10.0
Best Of Acid Volume Two,1994,https://i.discogs.com/jVDcphhH-Y_4r8Y1fS82cPzYFn4v-gW-GRVzGwGoZHg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ2/LTEyMTkyNDY1OTAu/anBlZw.jpeg,Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Various,"[""Electronic""]",3.5
Acid Trax Volume 3,1988,https://i.discogs.com/mxANTJyO3EeRpnHNdfiubeypqfEJKH0UsY1J7stbIfY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3OTI4/LTEyOTIzMjg1NDAu/anBlZw.jpeg,Ecstasy|Desire|Drug Store|Slave To Love|Acid Pop|Battery Acid|The Other Side|Cool J Acid|Stomach Acid|Anti Acid|Acid Syndrome|Slow Mo Acid|Keep Smiling Medley Mix,,Various,"[""Electronic""]",19.19
Acid Trax Volume 1,1997,https://i.discogs.com/5QYTL7lJW2moyXC44OWemfhLELmtmfI-yuegtEOj86I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY3MzYx/LTExNDc0NzIwMTcu/anBlZw.jpeg,Living In A Land|Acid Pop|Cocaine|Slow Mo Acid,,Various,"[""Electronic""]",34.88
Jackin' The House Vol 3,2004,https://i.discogs.com/zzm9zGahtZtPnyYcJchfFjH0IpxKI8l89YtkQAB3ojI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NzM0/MS0xMzM4ODE4MjIz/LTUwNjYuanBlZw.jpeg,7 Ways To Jack|Don't Lead Me|Reck The Joint|Acid Pop|House Rights Fight For It|Can U Dance|I Want It To Be Real (Farley's Piano Mix)|The Acid Life,,Various,"[""Electronic""]",6.8
Acid Trax Megamix Volume 1,1988,https://i.discogs.com/HbSDs7ZCy9EowhTIG7UVjqh89yFaEQjo3bjAc8pww3I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MDM3/Mi0xMzU3Njc2NjQ3/LTU4MjMuanBlZw.jpeg,Acid To The Bone (20:30)|Art Of Acid|Slam|Box Energy|Jackin' Tall|Feels Good|I Got A Big Dick|Never Gonna Change|Spank Spank|70th & King Drive|House This House|Get The Hole|Got The Bug|The Concentrated Solution (18:20)|Downfall|That Shit's Wild|City Hall|Hello Lover|Bango Acid|Hot Hands|I'll Make You Dance|Feel The Mood|Cool & Dry|Tom Tom|Shout|Two To The Max,,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",0.58
Acid Trax Volume 2,1988,https://i.discogs.com/43Cx-d7x6LxjTD4dfKZMG_4C5VvQzv845vgCb8_XFxs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5NjYy/LTExNjkzMDY2MjAu/anBlZw.jpeg,Art Of Acid|Slam|That Shits Wild|City Hall|Bango Acid|I Got A Big Dick|Never Gonna Change|Hot Hands|Box Energy|Jackin Tall|Feels Good|Hello Lover|I'll Make You Dance|Feel The Mood|Spank Spank|70th & King Drive,,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",2.91
Acid Trax Volume 3,1988,https://i.discogs.com/mxANTJyO3EeRpnHNdfiubeypqfEJKH0UsY1J7stbIfY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3OTI4/LTEyOTIzMjg1NDAu/anBlZw.jpeg,Ecstasy|Desire|Drug Store|Slave To Love|Acid Pop|Battery Acid|The Other Side|Cool J Acid|Stomach Acid|Anti Acid|Acid Syndrome|Slow Mo Acid|Keep Smiling Medley Mix,,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",19.19
Acid House Classics,1993,https://i.discogs.com/eGintlGJeZRpib38vhgXbtlEgMtObbBLq9mu_tlmF5o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NDA2/LTExNzE1Njc4OTgu/anBlZw.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shit's Wild|Box Energy|Feels Good|Bango Acid|I Got  A Big Dick|Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",10.0
Best Of Acid Volume Two,1994,https://i.discogs.com/jVDcphhH-Y_4r8Y1fS82cPzYFn4v-gW-GRVzGwGoZHg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ2/LTEyMTkyNDY1OTAu/anBlZw.jpeg,Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",3.5
Best Of Acid Volume Three,1994,https://i.discogs.com/P1PJ4Zd4-2JLqyh9ib2P1Aqy3Ncb2Z2IzeoblhT94ko/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ3/LTEyMTkyNDc3ODIu/anBlZw.jpeg,City Hall|Jackin' Tall|Hello Lover|Never Gonna Change|Hypnotize|Hot Hands|70th & King Drive|Hangover Acid Trax|Acid Rout|Let The Music Pump You Up,,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",2.13
Trax Records - Acid Classics,2004,https://i.discogs.com/4yLqxJhdyoOUX8sgtm4fd30_hzdsV98cuA_-oxSt3XU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MjA3/OS0xMzkyNzUzNTM3/LTI2NzkuanBlZw.jpeg,Acid Trax|Dream Girl (Wet Dream Mix)|Machines|Shout|Battery Acid|Slam|That Shit's Wild|Two The Max|Got The Bug|Living In A Land|The Acid Life|Bango Acid|This Is Acid,,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",11.63
Acid Masters - Legends Of House,2006,https://i.discogs.com/5zqME9jKnSqaJarctAeO8UW98K-W0jPaBYo5NAd_9C8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzNjg1/NC0xMTkwNzMxMTkw/LmpwZWc.jpeg,Acid Trax|Where's Your Child|Lack Of Love|Shout|Battery Acid|Give It To Me|That Shit's Wild|Got The Bug|Two The Max|The Acid Life|Bango Acid|This Is Acid|Pump Up Chicago|Simple Minded|Living In A Land|Dream Girl|Machines|The Twilight Zone|Jiggerwatts|Theme From P.O.P.|S.O.L.T.|Give It To Me (Double Trouble Remix)|Land Of Confusion|Got The Bug|We Are Phuture|Washing Machine|Acid Thunder|Where's Your Child? (Acid Club 2006 Remix),,"Six Brown Brothers, Fred Van Eps Trio","[""Electronic""]",9.88
Acid Trax Volume 3,1988,https://i.discogs.com/mxANTJyO3EeRpnHNdfiubeypqfEJKH0UsY1J7stbIfY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3OTI4/LTEyOTIzMjg1NDAu/anBlZw.jpeg,Ecstasy|Desire|Drug Store|Slave To Love|Acid Pop|Battery Acid|The Other Side|Cool J Acid|Stomach Acid|Anti Acid|Acid Syndrome|Slow Mo Acid|Keep Smiling Medley Mix,,Various,"[""Electronic""]",19.19
Acid Trax,1988,https://i.discogs.com/0-0C77vuFbZfcZmmKBC_2NdsA_DiFNdEXMeuZoC_gM8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMjQ5/MTItMTM2NzAwNDA2/OC02NjY1LmpwZWc.jpeg,House This House|Downfall|Get The Hole|Got The Bug|Cool And Dry|Tom Tom|Shout|Two The Max,"Compilation of 87' singles and unreleased tracks.

Notes:

Mr. Lee - House This House /////// Vocal mix from [r33386]
Armando - Downfall /////// Never released prior.
Lidell Townsell - Get the Hole /////// From [r32107]
Phuture Pfantasy Club - Got the Bug /////// Dub mix from [r2250]
Jack Frost & The Circle Jerks /////// Never released prior.",Jack Frost And The Circle Jerks*,"[""Electronic""]",4.99
Acid House Classics,1993,https://i.discogs.com/eGintlGJeZRpib38vhgXbtlEgMtObbBLq9mu_tlmF5o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NDA2/LTExNzE1Njc4OTgu/anBlZw.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shit's Wild|Box Energy|Feels Good|Bango Acid|I Got  A Big Dick|Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Jack Frost And The Circle Jerks*,"[""Electronic""]",10.0
Best Of Acid Volume One,1994,https://i.discogs.com/36pYBt7PIC9GvjpeZbzs5-ojNyHzq5mMpgkAgRQnpQw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1MTE5/MzAtMTM0MzA4OTU3/Ni0xOTYzLmpwZWc.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shits Wild|Box Energy|Feels Good|Bango Acid|I Got A Big Dick,,Jack Frost And The Circle Jerks*,"[""Electronic""]",2.3
Aciiid Bang!,1988,https://i.discogs.com/8HOC9vhEjK2L2Oec55Tg4Jw-fT1xiJdMa5MHdUOJ5fE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjE5/NS0xMzQ2NzgxNjk5/LTc1NzYuanBlZw.jpeg,Acid Man|Hangover Acid Trax|Hello Lover|Ghetto Ratz|Acid Rout|Desire (Acid Deep Mix)|Desire (Deep Acid Mix)|Ecstasy,,Jack Frost And The Circle Jerks*,"[""Electronic""]",3.99
Acid Trax Megamix Volume 1,1988,https://i.discogs.com/HbSDs7ZCy9EowhTIG7UVjqh89yFaEQjo3bjAc8pww3I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MDM3/Mi0xMzU3Njc2NjQ3/LTU4MjMuanBlZw.jpeg,Acid To The Bone (20:30)|Art Of Acid|Slam|Box Energy|Jackin' Tall|Feels Good|I Got A Big Dick|Never Gonna Change|Spank Spank|70th & King Drive|House This House|Get The Hole|Got The Bug|The Concentrated Solution (18:20)|Downfall|That Shit's Wild|City Hall|Hello Lover|Bango Acid|Hot Hands|I'll Make You Dance|Feel The Mood|Cool & Dry|Tom Tom|Shout|Two To The Max,,Jack Frost And The Circle Jerks*,"[""Electronic""]",0.58
Acid Trax,1988,https://i.discogs.com/j8Zb2h52GUNyhjP4b6O-epYRIKYkCUOuIhvsD_sp7Ek/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwMjcx/LTEwODA1NjQxNTUu/anBn.jpeg,House This House|Downfall|Get The Hole|Got The Bug|Cool And Dry|Tom Tom|Shout|Two The Max,"Compilation of 87' singles and unreleased tracks.

Notes:

Mr. Lee - House This House /////// Vocal mix from [r33386]
Armando - Downfall /////// Never released prior.
Lidell Townsell - Get the Hole /////// From [r32107]
Phuture Pfantasy Club - Got the Bug /////// Dub mix from [r2250]
Jack Frost & The Circle Jerks /////// Never released prior.",Jack Frost And The Circle Jerks*,"[""Electronic""]",4.99
Best Of House Megamix Volume 2,1988,https://i.discogs.com/h5fjOZdjCVCOfqyrMeBiKvvOLQ-vL2qGB48jcjp18MM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4ODgx/Ni0xMTc2MTkwNjQy/LmpwZWc.jpeg,"The Countdown Mix, Pt. 1 (21.00)|Put The Record Back On|Cool And Dry|Beat Dis|On A Mission|Let's Let's Dance|Rok Da House|If You Should Need A Friend|The Acid pHI Mix, Pt. 2 (18.20)|Got The Bug|Get The Hole|Nude Photo|Funky (Let's Go)|Give It To Me|Magic|House This House|The Morning After",,Jack Frost And The Circle Jerks*,"[""Electronic""]",0.23
Best Of House Megamix Volume 3,1988,https://i.discogs.com/u3HgEbvGHsQrvniSunYpXzkxkYEX0k06RIq8cWPzjSg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyMDY5/NS0xMzgzNTg2Njcy/LTc2ODQuanBlZw.jpeg,The Perfect Vision Mix (20:20)|Get Busy|I Have Dream|When We Used To Play|O.K. Coral|Rock This Place|Release Your Body|Delta House|Grooving Without A Doubt|Nude Photo '88'|Lets Lets Dance|The Acid Overture (18:12)|Untitled|Untitled|Untitled|Untitled|Untitled,,Jack Frost And The Circle Jerks*,"[""Electronic""]",5.23
Acid Trax Volume 3,1988,https://i.discogs.com/mxANTJyO3EeRpnHNdfiubeypqfEJKH0UsY1J7stbIfY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3OTI4/LTEyOTIzMjg1NDAu/anBlZw.jpeg,Ecstasy|Desire|Drug Store|Slave To Love|Acid Pop|Battery Acid|The Other Side|Cool J Acid|Stomach Acid|Anti Acid|Acid Syndrome|Slow Mo Acid|Keep Smiling Medley Mix,,Jack Frost And The Circle Jerks*,"[""Electronic""]",19.19
Acid House Classics,1993,https://i.discogs.com/eGintlGJeZRpib38vhgXbtlEgMtObbBLq9mu_tlmF5o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1NDA2/LTExNzE1Njc4OTgu/anBlZw.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shit's Wild|Box Energy|Feels Good|Bango Acid|I Got  A Big Dick|Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Jack Frost And The Circle Jerks*,"[""Electronic""]",10.0
Best Of Acid Volume Two,1994,https://i.discogs.com/jVDcphhH-Y_4r8Y1fS82cPzYFn4v-gW-GRVzGwGoZHg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ2/LTEyMTkyNDY1OTAu/anBlZw.jpeg,Never Gonna Change|I'll Make You Dance|Feel The Mood|Spank Spank|Acid Man|Desire|Ecstasy|Drug Store|Battery Acid|Stomach Acid,,Jack Frost And The Circle Jerks*,"[""Electronic""]",3.5
Best Of Acid Volume Three,1994,https://i.discogs.com/P1PJ4Zd4-2JLqyh9ib2P1Aqy3Ncb2Z2IzeoblhT94ko/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ3/LTEyMTkyNDc3ODIu/anBlZw.jpeg,City Hall|Jackin' Tall|Hello Lover|Never Gonna Change|Hypnotize|Hot Hands|70th & King Drive|Hangover Acid Trax|Acid Rout|Let The Music Pump You Up,,Jack Frost And The Circle Jerks*,"[""Electronic""]",2.13
Best Of Acid Volume Four,1994,https://i.discogs.com/fn4AWM4pAQX5m7Xu8BSsvSb4-wEm_3NBnLc-Yr9g99Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTQ5/LTEyMTkyNDk2NzEu/anBlZw.jpeg,Living In A Land|Acid Trax|House This House|Downfall|Cool & Dry|Tom Tom|Two The Max|Ghetto Ratz|17 Daze Of Acid Rain|I'll Take You There,,Jack Frost And The Circle Jerks*,"[""Electronic""]",0.65
Best Of Acid Volume One,1994,https://i.discogs.com/36pYBt7PIC9GvjpeZbzs5-ojNyHzq5mMpgkAgRQnpQw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1MTE5/MzAtMTM0MzA4OTU3/Ni0xOTYzLmpwZWc.jpeg,Get The Hole|Got The Bug|Shout|Art Of Acid|Slam|That Shits Wild|Box Energy|Feels Good|Bango Acid|I Got A Big Dick,,Jack Frost And The Circle Jerks*,"[""Electronic""]",2.3
