name,release_date,image,songs,notes,artist,genre,price
The Stone,1993,https://i.discogs.com/-9lv6XjmH8JXliqMi9ATh4EjLrCXHBPnGqNSrjwPTN8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0Njgz/Mi0xMzk4NjgyMzk1/LTQwOTIuanBlZw.jpeg,The Downward Pull Of Heaven's Force|Tribe|You Kill Me|Spirit|Take Me Away|The Stone|Beautiful|Space|Sunray Dub|Drive,,History Featuring Q-Tee,"[""Electronic""]",2.0
You Need A Mess Of Help To Stand Alone,1993,https://i.discogs.com/S6hWH0zU8DbTFqgdLVCZ8s4S-oPVWFjv_wGlNqE2dvs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NTMw/Ny0xMTYxODM5MDQy/LmpwZWc.jpeg,Who Do You Think You Are|Archway People|California Snow Story|Kiss And Make Up|Duke Duvet|Filthy|Join Our Club|Paper|People Get Real|Some Place Else|Speedwell,,History Featuring Q-Tee,"[""Electronic"", ""Pop""]",1.33
Beautiful / Tribe,1994,https://i.discogs.com/chbjR_6Pk5jM4xfAHcd4NjWCFfknTl69khk-iubI6u8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg0MzEw/NS0xNDkxMTI3NzQ5/LTY0NjAuanBlZw.jpeg,Beautiful (Album Edit)|Tribe (Album Edit)|Beautiful (Roll It Mix)|Beautiful (Re-birth Mix)|Tribe (Tibetan Mix)|Tribe (Lotus Mix)|Beautiful (Blue Mix),,History Featuring Q-Tee,"[""Electronic"", ""Pop""]",6.08
Essential Mix 4,1996,https://i.discogs.com/IMnVpuSreb72vqCpqR0TUrBUaPQz_d-2LzbfJbJu9bY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgyMjkz/LTEzNTYyNzIwNjct/Mzg0Ni5qcGVn.jpeg,Pushing Against The Flow (Narcotic Mix)|Fired Up (Danny's Twilo Anthem Edit)|Fly Life|The Flame (Armand Van Helden's Ghostphunk Mix)|She Drives Me Crazy (Sanchez Insane Mix)|Ride A Rocket (Scratch Mix)|The Warning|Ice Rain|Offshore (Disco Citizens Remix)|Run To You (BT & PVD's Inner Sanctury Mix)|Closer To You (The Immortals Remix)|Life Too Short|Trommelmaschine|Arkham Asylum (Original Mix)|Places (Original Mix)|Mammal (Original Mix)|Inner City Life (Rabbit In The Moon Mix)|Say My Name (Eddy Fingers Mix)|Voices Of K.A. (Original Mix)|Blue Skies (Paul Van Dyk Mix)|Off Shore (Original Mix)|Eternally (Dream Mix)|Anomaly (Granny's Epicure Mix)|Words (Original Mix)|Pan Fried (Original Mix)|Sensemilla|The Phantom|Zig It Up (Main Attraction Remix)|Let Me Clear My Throat|Enter/Other|Mad Them (Acapella)|Silence Go Boom!|Filthy (Monkey Mafia Mix)|Trickshot|Blow The Whole Joint (Coughing Up Fire Mix)|Just Feel It (Live '92)|Inspire Me|Killa|Who Da F**k|There's Gonna Be A Riot (Original Mix)|In Da Jungle|Wickedest Sound (Don Gorgon Mix)|Breaking Into A Sweat|Narramine|Killin|Super Sharp Shooter|Neptune|Buddy Bye Bye,,History Featuring Q-Tee,"[""Electronic"", ""Hip Hop""]",5.33
Altered States,1996,https://i.discogs.com/X6EvWtEmvZSOsduQKEFdDFuK1k_poYHIfJ3ODZ-aA68/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwNDk5/Ni0xMjAwMTY4NDkw/LmpwZWc.jpeg,La Tristesse Durera (Scream To A Sigh) (Dust Brothers Mix)|Born Slippy (Darren Price Mix)|Voodoo People (Dust Brothers Remix)|Tiny Meat (Danny Saber Mix)|Renegade Soundwave (Leftfield Remix)|9 Acre Dust (Chemical Brothers Remix)|Filthy (Monkey Mafia Vocal Mix)|Work Mi Body (For Rude Girls Only)|The Eastern Promise|Crabs (Eyes On Stalks Mix)|Everybody Needs A 303|Lethal Cut|Loose Caboose (Bassbin Twins Mix)|F.E.E.L.I.N.G. C.A.L.L.E.D. L.O.V.E. (The Moloko Mix)|Queer (F.T.F.O.I. Mix)|Planet Telex (Depthcharge Mix)|Release The Pressure (Release Two)|What's In The Box? (See Whatcha Got) (Kris's Erupting Cricket Box Mix)|Sleeper (Fearless Dubs Mix)|Loose (Photek Remix)|6 Underground (In The Jungle Mix)|Fun For Me (Doctor Rockit Remix)|Juvenile Scene Detective (Static Mix)|Cotton Wool (A Guy Called Gerald Mix)|Echo On My Mind (Roni Size Mix)|Flowers Bloom (Secret Lover Remix),,History Featuring Q-Tee,"[""Electronic""]",1.16
Horny,1996,https://i.discogs.com/b0jHvvwmdfx-gi4DD-XAZxXDlJm_jkuVuxg60n8DRUU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNjIz/NTQtMTIxMjkzNDYy/My5qcGVn.jpeg,Horny (C&J Radio Edit)|Horny (D-Influence Slick Mix)|Horny (Mindspell Vocal Beatdown Mix)|Horny (Album Version),,History Featuring Q-Tee,"[""Electronic"", ""Funk / Soul""]",0.2
Casino Classics,1996,https://i.discogs.com/nGfVAzec69F18mu8Qj914i-RNlUsNwWdIPCOvesedVw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzMTMt/MTIzMDgxNzQ2NC5q/cGVn.jpeg,Part One|Like A Motorway (Chekhov Warp Dub)|Join Our Club (Chemically Friendly Zoom Mix)|Pale Movie (Secret Knowledge Trouser Assassin Mix)|Speedwell (Flying Mix)|Only Love Can Break Your Heart (A Mix Of Two Halves)|Who Do You Think You Are? (Quex-rd)|Avenue (Variety Club Mix)|Hug My Soul (Kodacolour House Mix)|Like A Motorway (The David Holmes Mix)|Part Two|Angel (Way Out West Remix)|Filthy (Monkey Mafia Vocal Mix)|People Get Real (Death In Vegas)|Nothing Can Stop Us (Lionrock Mix)|Sometimes In Winter (Psychonauts)|The Sea (PFM Mix)|Burnt Out Car (Balearico Mix)|He's On The Phone (Naked Bungee Dub)|Cool Kids Of Death (Underworld Mix)|Angel (Broadcast),,History Featuring Q-Tee,"[""Electronic""]",1.74
Return Of The Mack,1997,https://i.discogs.com/lm_pV4T4EG16y9bWE2-0pxMoKmzZDZvKIhrKDiG1a7g/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2NTgx/NzAtMTc2MjMxMDg3/My0zMTU0LmpwZWc.jpeg,Home Pt 1 ('Interlude')|Crazy|Let's Get Down (Brockpocket Mix)|Get High With Me|Moan And Groan (Album Version)|Return Of The Mack (C&J Street Mix)|I Like (Brockpocket Mix)|Trippin' (Album Version)|Tears For You|Horny (Album Version)|I Really Love You|Crazy (D-Influence Mix)|Home Pt 2 ('Interlude'),"Released on CD/LP/MC 22-4-96. Reached #3 in the UK.

U.S issue contains unique and different mixes compared to the original UK / Europe issues & reissues.

The extended version of Return Of The Mack is sometimes spelled as X-Tended.

Candy is a U.S exclusive track replacing I Really Love You

Singles:
[m=77868] (10-4-95/15-7-96) #19/#6
[m=77874] (4-9-95) #39
[m=77889] (4-3-96) #1
[m=77893] (7-10-96) #8
[m=77873] (9-12-96) #5
[m=77884] (3-3-97) #7",History Featuring Q-Tee,"[""Funk / Soul""]",0.12
The Way You Luv Me,2000,https://i.discogs.com/Wf99f9BEkZuZQaYVIuZ__q95awUKjz08wfLRWFMlwlA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5NDgz/NS0xNDY1NTc2MjI3/LTQ5NjcucG5n.jpeg,The Way You Love Me (Olav Basoski Remix)|The Way You Love Me (Original Mix)|The Way You Love Me (Dub Remix),,Laroche,"[""Electronic""]",0.58
DJ's En Directo,2000,https://i.discogs.com/Vm9P1ExEG8wh_1b6qEdQ9RdmP227RT8OxUcT2cmw7kE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5MDI5/MjQtMTMwNjQ4Njg5/Ni5qcGVn.jpeg,DJ Kike Jaén - House & Progressive|Rapper's Delight|We'll Be In Trouble (Extended Mix)|At Midnight|Believe (UK Remix)|Shine Into My Life|Night Skool|Love Kiss|Check Out The Groove|The Way You Luv Me|Good Lovin|Something's Goin' On|Stop Burning Up|To The Bass|In And Out Of My Life|Celebrate|Be With My Baby|Supernova|DJ. Victor Perez - Latin-House|Intro|I'll Be There For You (Original)|Morning Light (12 AM Mix)|The Time Is Now (Can 7 Jungle Boogie)|Don't Give Up (Original Mix)|Walkin In The Name (Club Mix)|Now Or Never|Mighty Miami (Instrumental)|Free At Last (Vocal)|Gypsy Love (Caliente! Remix)|Mucho Mambo (Kneedepp Remix)|We Come To Party (Original Remix)|Don't Call Me Baby (Madison Baby From Outta Space Remix)|When You Got It (Club Mix)|Celebrate|Grito De Esperanza (Sound Klubb Mix)|DJ. Jose Conca - Techno & Jumper|Hola Guapo|Ballade Pour Elise 2000|Puff The Magic Dragon|Can You Feel The Rhythm|Weekend|You Are My Life|Open Up|Get Up Aah|Guest|Kol Nedra|I Need A Fix|Get Up|They're Out To Get Me|Psycho|Live For The Music|Yellow|Turn Up Da Stereo|Pop Goes The World,,Laroche,"[""Electronic""]",2.91
